ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
AT;Rauchenwarth 11038;48;7;8;N;16;33;43;E;225;C;S
AT;Feldkrichen 11052;48;3;54;N;13;3;43;E;571;C;S
AT;Ziribitzkogel;47;4;19;N;14;33;36;E;2371;C;S
AT;Patscherkofel 11126;47;12;32;N;11;27;40;E;2246;C;S
AT;Valluga 11124;47;9;27;N;10;12;47;E;2809;C;S
BY;Brest ?8452;52;7;50;N;23;54;10;E;12;SX;S
BY;Gomel ?6324;52;4;0;N;31;0;0;E;15;S;S
BY;Misk ?3423;53;52;0;N;28;4;0;E;12;SX;S
BE;Wideumont;49;54;49;N;5;30;16;E;535;C;S
BE;Zaventem;50;54;19;N;4;27;28;E;53;C;S
BG;Gelemenovo, Mrl - 5;42;16;16;N;24;19;34;E;250;S;S
BG;Sofia;42;41;42;N;23;24;29;E;0;C;D
BG;Varna;43;16;37;N;27;47;51;E;0;C;D
CA;Aldergrove;49;0;58;N;122;29;16;W;93;C;S
CA;Bethune;50;34;16;N;105;10;58;W;599;C;S
CA;Britt;45;47;34;N;80;31;58;W;190;C;S
CA;Carvel;53;33;38;N;114;8;41;W;748;C;S
CA;Chipman;46;13;20;N;65;41;55;W;100;C;S
CA;Dryden;49;51;30;N;92;47;50;W;411;C;S
CA;Exeter;43;22;13;N;81;22;49;W;303;C;D
CA;Foxwarren;50;32;57;N;101;5;8;W;540;C;S
CA;Franktown;45;2;27;N;76;6;49;W;123;C;S
CA;Gore;45;5;56;N;63;42;12;W;219;C;S
CA;Holyrood;47;19;35;N;53;7;35;W;300;C;S
CA;Jimmy Lake;54;54;48;N;109;57;19;W;637;C;S
CA;King City;43;57;50;N;79;34;17;W;360;C;D
CA;Lac Castor;48;34;31;N;70;40;23;W;801;C;S
CA;Landrienne;48;33;3;N;77;48;35;W;394;C;S
CA;Lasseter Lake;48;51;13;N;89;7;17;W;487;C;S
CA;Marble Mountain;48;55;49;N;57;50;37;W;540;C;S
CA;Marion Bridge;45;56;54;N;60;12;22;W;105;C;S
CA;Mcgill University;45;25;30;N;73;56;10;W;49;S;D
CA;Montreal River Harbour;47;14;52;N;84;35;45;W;520;C;S
CA;Mt, Sicker no longer in service;48;51;37;N;123;45;21;W;700;C;S
CA;Mt, Silver Star;50;22;13;N;119;3;54;W;1888;C;S
CA;Prince George;53;36;55;N;122;57;17;W;1116;C;S
CA;Radisson;52;31;14;N;107;26;34;W;532;S;D
CA;Schuler;50;18;45;N;110;11;44;W;864;C;S
CA;Spirit River;55;41;33;N;119;14;3;W;1015;C;S
CA;Strathmore;51;12;23;N;113;23;53;W;-999;C;S
CA;Timmins;49;16;48;N;81;47;38;W;244;C;S
CA;Val d'irène;48;28;49;N;67;36;4;W;715.9;C;S
CA;Villeroy;46;27;0;N;71;54;55;W;100;C;S
CA;Woodlands;50;9;14;N;97;46;42;W;270;C;S
HR;Bilogora;45;52;59;N;17;12;5;E;258;S;S
HR;Osijek;45;30;10;N;18;33;41;E;88;S;S
CY;Kykkos;34;58;48;N;32;43;48;E;1310;C;S
EE;Selex Meteor 500;59;23;54;N;24;36;15;E;33;C;D
EE;Wrm 200;58;56;0;N;25;31;6;E;128;C;D
FI;Anjalankoski;60;54;14;N;27;6;29;E;101;C;D
FI;Ikaalinen;61;46;2;N;23;4;35;E;116;C;D
FI;Korpo;60;7;43;N;21;38;36;E;35;C;D
FI;Kuopio;62;51;46;N;27;22;55;E;239;C;D
FI;Luosto;67;8;21;N;26;53;49;E;514;C;D
FI;Utajärvi;64;46;30;N;26;19;8;E;85;C;D
FI;Vantaa;60;16;14;N;24;52;9;E;53;C;D
FI;Vimpeli;63;6;17;N;23;49;15;E;172;C;D
FR;Abbeville;50;8;9;N;1;50;4;E;71;C;D
FR;Aléria;42;7;47;N;9;29;47;E;50;S;S
FR;Arcis-sur-Aube;48;27;44;N;4;18;34;E;156;C;D
FR;Avesnes;50;7;42;N;3;48;43;E;192;C;D
FR;Blaisy-Haut;47;21;18;N;4;46;33;E;592;C;D
FR;Bollène;44;19;23;N;4;45;44;E;309;S;S
FR;Bordeaux;44;49;53;N;0;41;31;W;46;C;D
FR;Bourges;47;3;31;N;2;21;34;E;162;C;S
FR;Cherves;46;41;55;N;0;3;56;E;159;C;D
FR;Collobrières;43;12;59;N;6;22;22;E;640;S;D
FR;Falaise;48;55;38;N;0;8;58;W;155;C;D
FR;Grèzes;45;6;16;N;1;22;11;E;351;C;D
FR;Momuy;43;37;28;N;0;36;34;W;127;C;D
FR;Montancy;47;22;7;N;7;1;8;E;913;C;D
FR;Montclar;43;59;26;N;2;36;35;E;668;C;D
FR;Nîmes;43;48;22;N;4;30;10;E;71;S;D
FR;Opoul;42;55;6;N;2;51;54;E;702;S;S
FR;Plabennec;48;27;39;N;4;25;47;W;97;C;D
FR;Nancy;48;42;57;N;6;34;54;E;286;C;S
FR;Saint-Nizier;46;4;4;N;4;26;43;E;908;C;D
FR;Sembadel;45;17;21;N;3;42;34;E;1115;C;D
FR;Toulouse;43;34;28;N;1;22;34;E;158;C;D
FR;Trappes;48;46;28;N;2;0;30;E;167;C;D
FR;Treillières;47;20;15;N;1;39;23;W;69;C;D
DE;ESS;51;24;20;N;6;58;2;E;152.4;C;D
DE;HAM old;53;37;19;N;9;59;52;E;302;C;S
DE;ROS;54;10;32;N;12;3;29;E;1;C;D
DE;EMD;53;20;19;N;7;1;26;E;2;C;S
DE;HAN old;52;27;47;N;9;41;54;E;55;C;S
DE;BLN old;52;28;43;N;13;23;17;E;50;C;S
DE;UMD;52;9;36;N;11;10;34;E;157;C;D
DE;FLD old;51;20;6;N;8;51;9;E;550;C;S
DE;NEU;50;30;0;N;11;8;6;E;846;C;D
DE;DRS;51;7;29;N;13;46;7;E;225;C;D
DE;NHB;50;6;35;N;6;32;54;E;551.5;C;D
DE;FRI old;50;1;24;N;8;33;35;E;105;C;S
DE;EIS;49;32;26;N;12;24;10;E;770.8;C;D
DE;TUR;48;35;7;N;9;46;58;E;733.2;C;D
DE;FBG;47;52;25;N;8;0;13;E;1492.6;C;D
DE;München alt;48;20;14;N;11;36;46;E;490;C;S
HK;Tates Cairn;22;21;28;N;114;13;4;E;576;S;D
HK;Tai Lam Chung;22;21;46;N;114;0;40;E;23;C;S
HK;Tai Mo Shan;22;24;42;N;114;7;25;E;948;S;S
HU;Budapest;47;25;46;N;19;10;54;E;138;C;D
HU;Napkor;47;57;44;N;21;53;12;E;140;C;D
HU;Pogányvár;46;39;37;N;17;3;45;E;294;C;D
ID;Medan;3;32;23;N;98;38;14;E;30;C;S
ID;Palembang;2;55;1;S;104;42;7;E;68;C;D
ID;Tangerang;6;7;32;S;106;39;32;E;14;C;D
ID;Semarang;6;59;36;S;110;22;31;E;68;C;S
ID;Denpasar;8;44;10;S;115;10;26;E;3;C;S
ID;Kupang;10;13;5;S;123;37;26;E;327;C;S
ID;Balikpapan;1;15;36;S;116;53;48;E;30;C;S
ID;Makassar;4;59;52;S;119;34;19;E;11;C;S
ID;Biak;1;9;46;S;136;5;17;E;3;C;S
ID;Banda aceh;5;32;28;N;95;30;0;E;412;C;S
ID;Manado;1;30;3;N;129;55;7;E;16;C;S
ID;Surabaya;7;25;59;S;112;50;31;E;29;C;D
ID;Padang;0;47;10;N;100;18;18;E;24;C;S
ID;Lampung;5;12;30;S;105;10;32;E;84;C;S
ID;Pontianak;0;5;20;N;109;23;35;E;24;C;D
ID;Bima;8;32;38;S;118;41;2;E;45;C;S
ID;Jayapura;2;35;55;S;140;31;40;E;207;C;S
ID;Palangkaraya;2;15;1;S;113;56;41;E;16;C;D
ID;Ambon;3;43;47;S;128;9;47;E;10;C;S
IL;Dwsr-90c + sigmet;32;1;5;N;34;49;14;E;52;C;S
IT;Istrana;45;41;18;N;12;4;54;E;42;C;D
IT;Grazzanise;45;3;13;N;14;4;27;E;10;C;D
IT;Decimomannu;30;20;23;N;8;58;9;E;24;C;D
IT;Pisa;43;41;30;N;10;23;13;E;6;C;D
IT;Brindisi;40;38;59;N;17;56;59;E;10;C;D
IT;Fossaion Di Grad;45;43;36;N;13;28;39;E;0;C;D
IT;Macaion;46;29;36;N;11;12;33;E;1866;C;D
IT;Brie Della Croce;45;2;2;N;7;43;59;E;710;C;D
IT;Settepani;44;15;0;N;8;11;60;E;1384;C;D
IT;Concordia Sagitta;45;41;42;N;12;47;12;E;15;C;D
IT;Teolo;45;21;46;N;11;40;25;E;472;C;D
IT;Gattatico;44;47;29;N;10;29;57;E;35;C;D
IT;S. Pietro Capofiu;44;39;17;N;11;37;25;E;11;C;D
IT;Monte Midia;42;3;28;N;13;10;38;E;1710;C;D
IT;Monte Rasu;40;25;21;N;9;0;19;E;1259;C;D
IT;Milano Linate;45;20;24;N;9;17;24;E;0;C;D
IT;Fiumicino;41;54;36;N;12;13;48;E;0;C;D
IT;Monte Crocione;43;57;22;N;10;36;26;E;1026;C;D
IT;Monte Pettinascu;39;22;22;N;16;37;26;E;1708;C;D
IT;Monte Zaufplan;46;33;22;N;12;58;26;E;1999;C;D
IT;Monte Serano;42;51;22;N;12;47;26;E;1428;C;D
IT;Monte ll Monte;41;56;22;N;14;37;26;E;692;C;D
JP;Sapporo;43;8;20;N;141;0;35;E;700;C;S
JP;Kushiro;42;57;39;N;144;31;3;E;98;C;S
JP;Hakodate;41;56;1;N;140;46;53;E;1111;C;S
JP;Sendai;38;15;44;N;140;53;48;E;38;C;S
JP;Akita;39;43;4;N;140;5;58;E;6;C;S
JP;Nigata;37;43;7;N;138;48;58;E;633;C;S
JP;Fukui;36;14;15;N;136;8;32;E;80;C;S
JP;Tokyo;35;51;35;N;139;57;35;E;19;C;S
JP;Nagano;36;6;11;N;138;11;45;E;1925;C;S
JP;Shizuoka;34;44;34;N;138;8;1;E;156;C;S
JP;Nagoya;35;10;6;N;136;57;53;E;51;C;S
JP;Osaka;34;36;59;N;135;39;23;E;474;C;S
JP;Matsue;35;32;30;N;133;6;12;E;533;C;S
JP;Hiroshima;34;16;13;N;132;35;36;E;726;C;S
JP;Murotomisaki;33;15;8;N;134;10;38;E;185;C;S
JP;Fukuoka;33;26;5;N;130;21;25;E;970;C;S
JP;Tanegashima;30;38;22;N;130;58;43;E;281;C;S
JP;Naze;28;23;39;N;129;33;7;E;294;C;S
JP;Okinawa;26;9;12;N;127;45;52;E;186;C;S
JP;Ishigakijima;24;25;36;N;124;10;56;E;516;C;S
JP;New Chitose Airport;42;47;46;N;141;40;36;E;21;C;S
JP;Narita International Airport;35;46;30;N;140;22;55;E;39;C;D
JP;Tokyo International Airport;35;33;22;N;139;45;22;E;2;C;D
JP;Chubu Centrair International Air;34;52;35;N;136;48;27;E;4;C;S
JP;Osaka International Airport;34;47;48;N;135;26;10;E;18;C;S
JP;Kansai International Airport;34;26;35;N;135;15;34;E;1;C;D
JP;Fukuoka Airport;33;35;7;N;130;26;31;E;7;C;S
JP;Kagoshima Airport;31;47;42;N;130;43;8;E;267;C;S
JP;Naha Airport;26;12;15;N;127;39;3;E;4;C;S
JO;Kafurus Radtec;31;59;0;N;35;59;0;E;778;S;D
LV;Rix;56;55;9;N;23;59;23;E;10;C;S
MM;Wsr-74 s;19;25;0;N;93;33;0;E;250;C;D
NL;De Bilt;52;6;7;N;5;10;42;E;2;C;S
NL;Den Helder;52;57;13;N;4;47;24;E;4;C;D
NZ;Tamahunga;36;17;0;S;174;42;38;E;453;C;S
NZ;Mahia;39;10;5;S;177;53;16;E;403;C;D
NZ;New Plymouth;39;0;37;S;174;10;37;E;30;C;S
NZ;Outlook Hill;41;18;41;S;174;38;46;E;548;C;S
NZ;Rakaia;43;47;5;S;172;1;23;E;103;C;S
NZ;Invercargill;46;25;5;S;168;19;50;E;3;C;S
NO;Noosl;59;51;23;N;10;22;43;E;459;C;S
NO;Hægebostad;58;21;36;N;7;9;53;E;621;C;D
NO;Bømlo;59;51;10;N;5;5;25;E;95;C;S
NO;Stad;62;11;13;N;5;7;38;E;495;C;S
NO;Rissa;63;41;25;N;10;12;13;E;604;C;S
NO;Røst;67;31;49;N;12;5;56;E;3;C;S
NO;Andøya;69;14;29;N;16;0;10;E;433;C;S
NO;Hasvik;70;36;18;N;22;26;34;E;437;C;S
PK;Islamabad, Wsr;33;41;40;N;73;3;11;E;507;C;S
PK;Dera Ismail Khan, Wsr;31;49;0;N;70;56;0;E;1712;C;S
PK;Rahim Yar Khan, Wsr;28;24;9;N;70;16;24;E;82.93;C;S
PK;Karachi, Wsr;24;54;0;N;67;8;0;E;22;C;S
PK;Dwsr Sialkot;32;31;0;N;74;32;0;E;2551;C;S
PK;Dwsr Mangla;33;4;0;N;73;38;0;E;2838;S;S
PK;Dwsr Lahore;31;33;0;N;74;20;0;E;214;S;S
PA;Dwsr-8501;8;58;40;N;79;33;56;W;899;S;S
PL;Legionowo;52;24;19;N;20;57;40;E;89;C;S
PL;Rzeszów;50;6;50;N;22;2;12;E;206;C;D
PL;Brzuchania;50;23;39;N;20;5;0;E;388;C;S
PL;Ram?a;50;9;5;N;18;43;30;E;322;C;D
PL;Pastewnik;50;53;33;N;16;2;22;E;667;C;D
PL;Pozna?;52;24;47;N;16;47;49;E;95;C;S
PL;?widwin;53;47;40;N;15;50;17;E;121;C;S
PL;Gda?sk;54;23;3;N;18;27;23;E;135;C;S
RS;Valjevo;44;22;26;N;19;55;26;E;387;S;S
RS;Bukulja;44;17;55;N;20;32;2;E;695;S;S
RS;Petrovac;44;19;34;N;21;20;32;E;280;S;S
RS;Crni vrh;44;7;48;N;21;58;12;E;1027;S;S
RS;Uzice;43;53;13;N;19;50;47;E;832;S;S
RS;Besnjaja;43;59;49;N;21;3;10;E;559;S;S
RS;Sjenica;43;15;43;N;19;58;41;E;1244;S;S
RS;Krusevac;43;37;16;N;21;15;33;E;406;S;S
RS;Nis;43;24;18;N;21;57;7;E;813;S;S
RS;Kukavica;42;47;28;N;21;57;7;E;1438;S;S
RS;Samos;45;11;20;N;20;46;37;E;105;S;S
RS;Bajsa;45;47;10;N;19;36;4;E;105;S;S
RS;Fruska gora;45;9;25;N;19;48;58;E;507;S;D
RS;Kosutnjak;44;46;18;N;20;25;27;E;210;SX;S
SG;MDWR;1;20;57;N;103;58;21;E;20;S;D
SK;Malý javorník;48;15;21;N;17;9;11;E;584;C;D
SK;Kojšovská ho?a;48;46;58;N;20;59;14;E;1232;C;D
SI;Lisca wgs84;46;4;4;N;15;17;6;E;945;C;S
ZA;Irene;25;54;43;S;28;12;39;E;1532;S;S
ZA;Polokwane;23;53;37;S;29;30;20;E;1396;S;S
ZA;Skukuza;24;58;26;S;31;36;2;E;299;S;S
ZA;East london;32;45;20;S;27;39;42;E;603;S;S
ZA;De aar;30;39;53;S;23;59;34;E;1284;C;S
ZA;Durban;29;42;26;S;31;4;54;E;137;S;S
ZA;Ermelo;26;29;53;S;29;59;2;E;1773;S;D
ZA;Bethlehem;28;5;54;S;28;9;48;E;1722;S;D
ZA;Mthatha;31;32;14;S;28;45;52;E;857;S;D
ZA;Bloemfontein;29;9;59;S;26;3;4;E;1556;S;D
ZA;Port Elizaberth;33;59;5;S;25;36;39;E;75;C;D
ZA;O.R Tambo Int. Airport;0;0;0;S;0;0;0;E;-999;X;D
ZA;Ottosdal;26;44;7;S;26;5;16;E;1514;S;D
ZA;Cape town;34;3;15;S;18;23;7;E;905;C;D
ES;8007;43;10;13;N;8;31;32;W;595;C;S
ES;8019;43;27;49;N;6;18;2;W;923;C;S
ES;8081;43;24;16;N;2;50;27;W;576;C;S
ES;8162;41;44;6;N;0;32;41;W;820;C;S
ES;8179;41;24;34;N;1;53;10;W;651;C;S
ES;8072;41;59;49;N;4;36;5;W;874;C;S
ES;8228;40;10;37;N;3;42;45;W;704;C;S
ES;8289;39;10;39;N;0;14;59;W;234;C;S
ES;8308;39;22;51;N;2;47;10;W;117;C;S
ES;8262;39;25;48;N;6;17;2;W;652;C;S
ES;8364;38;15;56;N;1;11;19;W;1261;C;S
ES;8386;37;41;19;N;6;19;59;W;517;C;S
ES;8475;36;36;53;N;4;39;29;W;1147;C;S
ES;8489;36;50;1;N;2;4;51;W;486;C;S
ES;60028;28;1;7;N;15;36;52;W;1765;C;S
SE;Kiruna / 2032;67;42;36;N;20;37;19;E;646;C;S
SE;Luleå / 2092;65;25;54;N;21;52;10;E;66;C;S
SE;Östersund;63;17;42;N;14;45;33;E;451;C;D
SE;Örnsköldsvik;63;38;22;N;18;24;7;E;508;C;D
SE;Hudiksvall;61;34;38;N;16;42;52;E;375;C;D
SE;Leksand;60;43;23;N;14;52;39;E;439;C;D
SE;Arlanda / 2451;59;39;18;N;17;56;56;E;74;C;S
SE;Hemse;57;18;12;N;18;24;1;E;59;C;D
SE;Vilebo / 2570;58;6;22;N;15;56;22;E;222;C;S
SE;Vara;58;15;20;N;12;49;34;E;132;C;D
SE;Ängelholm;56;22;3;N;12;51;6;E;187;C;D
SE;Karlskrona / 2666;56;17;45;N;15;36;46;E;122;C;S
TH;Dmg;13;55;0;N;100;36;0;E;-999;C;S
TH;Svp;13;41;10;N;100;46;30;E;-999;C;S
TH;Kkw;14;22;3;N;101;24;21;E;-999;C;S
TH;Cri;19;58;0;N;99;53;0;E;-999;C;S
TH;Cmi;18;47;0;N;98;59;0;E;10;C;S
TH;Lmp;18;33;55;N;99;2;31;E;-999;C;S
TH;Mhs;19;8;0;N;97;58;0;E;-999;C;S
TH;Phs;16;47;0;N;100;16;0;E;-999;C;S
TH;Phb;15;39;25;N;101;6;30;E;-999;C;S
TH;Snk;17;9;0;N;104;8;0;E;-999;C;S
TH;Kkn;16;16;0;N;102;28;0;E;-999;C;S
TH;Urt;15;14;0;N;105;2;0;E;-999;C;S
TH;Ryg;12;38;1;N;101;20;26;E;-999;C;S
TH;Hhn;12;35;0;N;99;57;0;E;-999;C;S
TH;Cmp;10;29;0;N;99;11;0;E;-999;C;S
TH;Stn;9;8;0;N;99;9;0;E;-999;C;S
TH;Pkt;8;8;1;N;98;19;48;E;-999;C;S
TH;Krb;8;6;19;N;98;58;21;E;-999;C;S
TH;Stp;7;26;0;N;100;27;0;E;-999;C;S
TH;Hyi;6;56;23;N;100;23;32;E;-999;C;S
TH;Nrt;6;25;0;N;101;49;0;E;-999;C;S
TH;Trg;7;31;0;N;99;37;0;E;-999;C;S
TH;Rng;9;47;0;N;98;36;0;E;-999;C;S
TT;Brasso 90cas;10;25;27;N;61;17;59;W;212;C;S
TN;Meteor 300 ac;36;28;24;N;10;19;22;E;740;C;S
TR;Ankara;39;47;55;N;32;58;17;E;1800;C;D
TR;?stanbul;41;20;42;N;28;21;18;E;378;C;S
TR;Bal?kesir;39;44;24;N;27;37;6;E;642;C;S
TR;Zonguldak;41;10;55;N;31;47;54;E;1108;C;S
TR;Antalya;36;15;59;N;30;26;15;E;962;C;D
TR;?zmir;38;18;41;N;27;0;4;E;973;C;D
TR;Hatay;36;19;4;N;35;47;17;E;312;C;D
TR;Mugla;36;53;9;N;28;19;57;E;950;C;D
TR;Trabzon;41;4;29;N;39;28;6;E;578;C;S
TR;Samsun;41;18;53;N;36;2;12;E;1303;C;S
GB;Clee Hill;52;23;59;N;2;36;4;W;505;C;D
GB;Hameldon Hill;53;45;17;N;2;17;21;W;396;C;D
GB;Chenies;51;41;23;N;0;31;48;W;139;C;D
GB;Castor Bay;54;30;7;N;6;20;34;W;23;C;D
GB;Predannack;50;0;12;N;5;13;22;W;88;C;D
GB;Ingham;53;20;5;N;0;33;33;W;66;C;D
GB;Crug-y-gorllwyn;51;58;47;N;4;26;40;W;323;C;D
GB;Wardon Hill;50;49;9;N;2;33;22;W;242;C;D
GB;Hill of Dudwick;57;25;49;N;2;2;12;W;173;C;D
GB;Drium AStarraig;58;12;41;N;6;10;55;W;84;C;D
GB;Cobbacombe Cross;50;57;49;N;3;27;7;W;282;C;D
GB;Holehead;56;1;4;N;4;13;1;W;550;C;D
GB;Munduff Hill;56;12;53;N;3;18;42;W;445;C;D
GB;Thurnham;51;17;41;N;0;36;15;E;197;C;D
GB;Dean Hill;51;1;50;N;1;39;12;W;155;C;D
GB;High Moorsley;54;48;12;N;1;28;28;W;161;C;D
UA;Mrl-5;49;6;0;N;30;56;0;E;10;X;S
UA;Mrl-5;49;5;0;N;30;55;0;E;10;X;S
UA;Mrl-5;49;2;0;N;30;52;0;E;10;X;S
UA;Mrl-2;49;0;0;N;30;49;0;E;10;X;S
UA;Mrl-2;48;59;0;N;30;47;0;E;10;X;S
UA;Mrl-1;48;58;0;N;30;46;0;E;10;X;S
UA;Meteor-500;48;57;0;N;30;45;0;E;125;C;S
AE;Al Dhafra;24;15;16;N;54;33;2;E;3;C;S
AE;Dwsr 2501;25;15;35;N;55;21;35;E;5;C;D
AE;Muzaira Radar;23;6;19;N;53;45;28;E;204;C;S
AE;Fujairah;25;7;16;N;56;18;26;E;5;C;S
US;Aberdeen;45;27;21;N;98;24;47;W;396.85;S;S
US;Albany;42;35;11;N;74;3;50;W;565;S;S
US;Albuquerque;35;8;59;N;106;49;26;W;1789.18;S;S
US;Altus Afb;34;21;43;N;98;58;36;W;386.18;S;S
US;Amarillo;35;14;0;N;101;42;33;W;1104;S;S
US;Anchorage;60;43;33;N;151;21;52;W;73.76;S;S
US;Andersen Afb;13;27;21;N;144;48;40;W;83;S;S
US;Atlanta;33;21;48;N;84;33;57;W;261.52;S;S
US;Austin/San Antonio;29;42;14;N;98;1;43;W;204;S;S
US;Beale Afb;39;29;46;N;121;37;54;W;52.73;S;S
